Nombre_Completo,Centro_Trabajo,Fecha_Nacimiento,Tipo_Sangre,Correo_Electronico,Telefono,Direccion,Tipo_Seguro,Nombre_Aseguradora,Numero_Tarjeta,Acepta_Terminos_Condiciones,Nombre_Fotografia,IP,Hora_Registro
,Lala,,,,,,SGMM,Allianz,,,,,
,Simsa,,,,,,No Aplica,Seguros Atlas,,,,,
,Combugas,,,,,,,Axa,,,,,
,Circulo Salud,,,,,,,Bupa ,,,,,
,,,,,,,,Bx+ seguros,,,,,
,,,,,,,,Aba Auto Seguros,,,,,
,,,,,,,,General de Salud,,,,,
,,,,,,,,GBG,,,,,
,,,,,,,,General de Seguros ,,,,,
,,,,,,,,GNP,,,,,
,,,,,,,,Inbursa,,,,,
,,,,,,,,Keralty,,,,,
,,,,,,,,La Latino Seguro,,,,,
,,,,,,,,Mapfre,,,,,
,,,,,,,,Metlife,,,,,
,,,,,,,,Plan Seguro ,,,,,
,,,,,,,,Qualitas ,,,,,
,,,,,,,,Seguros Monterrey ,,,,,
,,,,,,,,Sura ,,,,,
,,,,,,,,Thona Seguros ,,,,,
,,,,,,,,Vumi,,,,,
,,,,,,,,Zurich,,,,,
,,,,,,,,No Tengo,,,,,
,,,,,,,,,9999,,,,2024-02-01 17:35:27
Hermann Raúl Herrera,Lala,2002-12-07,A-,hermsn@gmail.com,6451078451,"PRÍV GONZÁlez iñarritù %$""·!·""%$&·/%&(/%/)HWEV, 237d, 2398 ''ded""""d e0'd",SGMM,Thona Seguros ,9999,True,Sin Fotografia,127.0.0.1,2024-02-01 17:46:19
,,,,,,,,,9998,,,,2024-02-01 17:46:55
